"Angle","Shift_X","Shift_Y","mIoU"
"-0.35","20","0","0.825"
"-0.35","20","20","0.826"
"-0.35","20","40","0.826"
"-0.35","20","60","0.823"
"-0.35","20","80","0.826"
"-0.35","40","-80","0.825"
"-0.35","40","-60","0.827"
"-0.35","40","-40","0.829"
"-0.35","40","-20","0.825"
"-0.35","40","0","0.825"
"-0.35","40","20","0.825"
"-0.35","40","40","0.828"
"-0.35","40","60","0.824"
"-0.35","40","80","0.826"
"-0.35","60","-80","0.824"
"-0.35","60","-60","0.826"
"-0.35","60","-40","0.828"
"-0.35","60","-20","0.824"
"-0.35","60","0","0.825"
"-0.35","60","20","0.827"
"-0.35","60","40","0.825"
"-0.35","60","60","0.824"
"-0.35","60","80","0.826"
"-0.35","80","-80","0.821"
"-0.35","80","-60","0.822"
"-0.35","80","-40","0.822"
"-0.35","80","-20","0.821"
"-0.35","80","0","0.821"
"-0.35","80","20","0.82"
"-0.35","80","40","0.822"
"-0.35","80","60","0.822"
"-0.35","80","80","0.824"
"-0.3","-80","-80","0.834"
"-0.3","-80","-60","0.833"
"-0.3","-80","-40","0.834"
"-0.3","-80","-20","0.827"
"-0.3","-80","0","0.833"
"-0.3","-80","20","0.831"
"-0.3","-80","40","0.831"
"-0.3","-80","60","0.826"
"-0.3","-80","80","0.834"
"-0.3","-60","-80","0.835"
"-0.3","-60","-60","0.834"
"-0.3","-60","-40","0.835"
"-0.3","-60","-20","0.83"
"-0.3","-60","0","0.834"
"-0.3","-60","20","0.832"
"-0.3","-60","40","0.834"
"-0.3","-60","60","0.831"
"-0.3","-60","80","0.835"
"-0.3","-40","-80","0.833"
"-0.3","-40","-60","0.836"
"-0.3","-40","-40","0.831"
"-0.3","-40","-20","0.829"
"-0.3","-40","0","0.83"
"-0.3","-40","20","0.834"
"-0.3","-40","40","0.831"
"-0.3","-40","60","0.83"
"-0.3","-40","80","0.834"
"-0.3","-20","-80","0.829"
"-0.3","-20","-60","0.829"
"-0.3","-20","-40","0.83"
"-0.3","-20","-20","0.826"
"-0.3","-20","0","0.828"
"-0.3","-20","20","0.829"
"-0.3","-20","40","0.83"
"-0.3","-20","60","0.827"
"-0.3","-20","80","0.83"
"-0.3","0","-80","0.828"
"-0.3","0","-60","0.827"
"-0.3","0","-40","0.827"
"-0.3","0","-20","0.824"
"-0.3","0","0","0.827"
"-0.3","0","20","0.826"
"-0.3","0","40","0.827"
"-0.3","0","60","0.824"
"-0.3","0","80","0.83"
"-0.3","20","-80","0.83"
"-0.3","20","-60","0.828"
"-0.3","20","-40","0.828"
"-0.3","20","-20","0.825"
"-0.3","20","0","0.828"
"-0.3","20","20","0.826"
"-0.3","20","40","0.828"
"-0.3","20","60","0.825"
"-0.3","20","80","0.83"
"-0.3","40","-80","0.83"
"-0.3","40","-60","0.83"
"-0.3","40","-40","0.827"
"-0.3","40","-20","0.826"
"-0.3","40","0","0.826"
"-0.3","40","20","0.829"
"-0.3","40","40","0.827"
"-0.3","40","60","0.828"
"-0.3","40","80","0.831"
"-0.3","60","-80","0.828"
"-0.3","60","-60","0.827"
"-0.3","60","-40","0.829"
"-0.3","60","-20","0.826"
"-0.3","60","0","0.828"
"-0.3","60","20","0.828"
"-0.3","60","40","0.829"
"-0.3","60","60","0.827"
"-0.3","60","80","0.831"
"-0.3","80","-80","0.828"
"-0.3","80","-60","0.826"
"-0.3","80","-40","0.826"
"-0.3","80","-20","0.82"
"-0.3","80","0","0.824"
"-0.3","80","20","0.824"
"-0.3","80","40","0.827"
"-0.3","80","60","0.82"
"-0.3","80","80","0.83"
"-0.25","-80","-80","0.835"
"-0.25","-80","-60","0.838"
"-0.25","-80","-40","0.838"
"-0.25","-80","-20","0.836"
"-0.25","-80","0","0.835"
"-0.25","-80","20","0.836"
"-0.25","-80","40","0.836"
"-0.25","-80","60","0.836"
"-0.25","-80","80","0.836"
"-0.25","-60","-80","0.833"
"-0.25","-60","-60","0.835"
"-0.25","-60","-40","0.835"
"-0.25","-60","-20","0.833"
"-0.25","-60","0","0.833"
"-0.25","-60","20","0.833"
"-0.25","-60","40","0.834"
"-0.25","-60","60","0.834"
"-0.25","-60","80","0.835"
"-0.25","-40","-80","0.834"
"-0.25","-40","-60","0.836"
"-0.25","-40","-40","0.835"
"-0.25","-40","-20","0.833"
"-0.25","-40","0","0.831"
"-0.25","-40","20","0.835"
"-0.25","-40","40","0.834"
"-0.25","-40","60","0.835"
"-0.25","-40","80","0.834"
"-0.25","-20","-80","0.831"
"-0.25","-20","-60","0.831"
"-0.25","-20","-40","0.832"
"-0.25","-20","-20","0.828"
"-0.25","-20","0","0.83"
"-0.25","-20","20","0.829"
"-0.25","-20","40","0.832"
"-0.25","-20","60","0.83"
"-0.25","-20","80","0.835"
"-0.25","0","-80","0.829"
"-0.25","0","-60","0.829"
"-0.25","0","-40","0.829"
"-0.25","0","-20","0.828"
"-0.25","0","0","0.827"
"-0.25","0","20","0.828"
"-0.25","0","40","0.829"
"-0.25","0","60","0.83"
"-0.25","0","80","0.831"
"-0.25","20","-80","0.828"
"-0.25","20","-60","0.827"
"-0.25","20","-40","0.828"
"-0.25","20","-20","0.826"
"-0.25","20","0","0.827"
"-0.25","20","20","0.828"
"-0.25","20","40","0.829"
"-0.25","20","60","0.829"
"-0.25","20","80","0.831"
"-0.25","40","-80","0.83"
"-0.25","40","-60","0.831"
"-0.25","40","-40","0.831"
"-0.25","40","-20","0.829"
"-0.25","40","0","0.827"
"-0.25","40","20","0.831"
"-0.25","40","40","0.83"
"-0.25","40","60","0.831"
"-0.25","40","80","0.832"
"-0.25","60","-80","0.831"
"-0.25","60","-60","0.829"
"-0.25","60","-40","0.83"
"-0.25","60","-20","0.827"
"-0.25","60","0","0.829"
"-0.25","60","20","0.826"
"-0.25","60","40","0.829"
"-0.25","60","60","0.828"
"-0.25","60","80","0.833"
"-0.25","80","-80","0.83"
"-0.25","80","-60","0.828"
"-0.25","80","-40","0.829"
"-0.25","80","-20","0.827"
"-0.25","80","0","0.826"
"-0.25","80","20","0.826"
"-0.25","80","40","0.828"
"-0.25","80","60","0.828"
"-0.25","80","80","0.83"
"-0.2","-80","-80","0.84"
"-0.2","-80","-60","0.839"
"-0.2","-80","-40","0.841"
"-0.2","-80","-20","0.834"
"-0.2","-80","0","0.837"
"-0.2","-80","20","0.838"
"-0.2","-80","40","0.839"
"-0.2","-80","60","0.836"
"-0.2","-80","80","0.842"
"-0.2","-60","-80","0.837"
"-0.2","-60","-60","0.838"
"-0.2","-60","-40","0.837"
"-0.2","-60","-20","0.834"
"-0.2","-60","0","0.836"
